build,rep,instructions,completed,instr_per_conn,conn_per_sec,p50_us,p99_us,p999_us,audit_fail
netpoll,1,21979114330,68539,320680.405754388,6853.81840049427,72640,111275,125547,0
netpoll,2,20202155137,63482,318234.38355754386,6347.5354124075675,79408,119283,134807,0
netpoll,3,19907317536,62798,317005.59788528294,6279.782041707295,80714,118652,127836,0
netpoll,4,20378306935,64123,317800.27345882135,6412.194775883729,78799,117365,130779,0
netpoll,5,20317876996,63784,318541.90699862037,6377.919384231298,78804,118687,130206,0
uring,1,19879535069,96663,205658.16360965415,9666.123105114115,48595,112506,141288,0
uring,2,20759495513,100978,205584.34028204164,10097.737114322574,46625,103508,121076,0
uring,3,20462389822,99575,205497.26158172233,9957.200817978463,47138,99524,114699,0
uring,4,20840436745,101221,205890.4451151441,10121.7710809026,45629,104625,123385,0
uring,5,22563507416,110047,205035.18874662643,11004.543234779348,41686,101227,123604,0
